heading,section,txt_location,pop_out_image,pop_out_link,pop_alt_txt,pop_out_video,pop_out_txt,shapefile,lookup_value,intensity,intensity_txt,text,image_slideshow_folder,,video
Earthquake,Other important details for your location,1,,,,https://youtu.be/4Uwxr42JqYQ,"<h4>What is Liquefaction?</h4>
<p>Liquefaction is a phenomenon that happens when the ground is shaken strongly by an earthquake. Soil or sediment that is water-filled and loosely packed is prone to liquefaction. During shaking the ground acts like quick-sand and no longer supports object like cars or buildings.</p> ",RDPOLiquefact_Clark,1,,,<p>This area is at low risk for liquefaction. Unless shaking is strong it is unlikely you will see liquefaction here.</p>,,,
Earthquake,Other important details for your location,1,,,,https://youtu.be/4Uwxr42JqYQ,"<h4>What is Liquefaction?</h4>
<p>Liquefaction is a phenomenon that happens when the ground is shaken strongly by an earthquake. Soil or sediment that is water-filled and loosely packed is prone to liquefaction. During shaking the ground acts like quick-sand and no longer supports object like cars or buildings.</p> ",RDPOLiquefact_Clark,2,,,"<p><b>Lookout! This area is at moderate risk for liquefaction.</b>
Shaken ground could become unstable.  This will reduce the ability of soil to hold homes&#44; vehicles&#44; and other structures. Sand-filled water may come up through cracks in streets.</p>",,,
Earthquake,Other important details for your location,1,,,,https://youtu.be/4Uwxr42JqYQ,"<h4>What is Liquefaction?</h4>
<p>Liquefaction is a phenomenon that happens when the ground is shaken strongly by an earthquake. Soil or sediment that is water-filled and loosely packed is prone to liquefaction. During shaking the ground acts like quick-sand and no longer supports object like cars or buildings.</p> ",RDPOLiquefact_Clark,3,,,<p>Lookout! This area is at high risk for liquefaction. </b> Shaken ground could become unstable.  This will reduce the ability of soil to hold homes&#44; vehicles&#44; and other structures. Sand-filled water may come up through cracks in streets.</p>,,,
Earthquake,Other important details for your location,1,,,,https://youtu.be/4Uwxr42JqYQ,"<h4>What is Liquefaction?</h4>
<p>Liquefaction is a phenomenon that happens when the ground is shaken strongly by an earthquake. Soil or sediment that is water-filled and loosely packed is prone to liquefaction. During shaking the ground acts like quick-sand and no longer supports object like cars or buildings.</p> ",RDPOLiquefact_Clark,4,,,<p>This is water so it is already saturated and not prone to liquefaction.</p>,,,
Earthquake,Other important details for your location,2,,,,,,RDPO_counties,Cla,,,<p>Good news! Clackamas County is <b>outside of the tsunami zone </b>. However&#44; it will be crucial for everyone nearby to help those displaced from the tsunami wave that will hit coastal communities.</p>,,,
Earthquake,Other important details for your location,2,,,,,,RDPO_counties,Mlt,,,<p>Good news!  Multnomah County is <b>outside of the tsunami zone </b>. However&#44; it will be crucial for everyone nearby to help those displaced from the tsunami wave that will hit coastal communities.</p>,,,
Earthquake,Other important details for your location,2,,,,,,RDPO_counties,Col,,,<p>Good news! Columbia County is <b>outside of the tsunami zone </b>. However&#44; it will be crucial for everyone nearby to help those displaced from the tsunami wave that will hit coastal communities.</p>,,,
Earthquake,Other important details for your location,2,,,,,,RDPO_counties,Clk,,,<p>Good news!  Clark County is <b>outside of the tsunami zone </b>. However&#44; it will be crucial for everyone nearby to help those displaced from the tsunami wave that will hit coastal communities.</p>,,,
Earthquake,Other important details for your location,2,,,,,,RDPO_counties,Was,,,<p>Good news! Washington County is <b>outside of the tsunami zone </b>. However&#44; it will be crucial for everyone nearby to help those displaced from the tsunami wave that will hit coastal communities.</p>,,,
Earthquake,Other important details for your location,3,,,,,,RDPO_counties,Cla,,,"<p>Learn more about <a href=""https://www.portlandoregon.gov/pbem/54418"" target=_blank>regional resources</a>. Find out how you can <a href=""https://www.clackamas.us/dm/volunteer.html"" target=_blank>volunteer</a> after a disaster hits.</p>",,,
Earthquake,Other important details for your location,3,,,,,,RDPO_counties,Mlt,,,"<p><a href=""https://www.portlandoregon.gov/pbem/54418"" target=_blank>Learn more</a> more about regional resources. <a href=""https://www.portlandoregon.gov/pbem/article/483656"" target=_blank>Find a BEECN near you</a>. BEECN stands for Basic Earthquake Emergency Communication Node. It is a place to go after a major earthquake to ask for emergency assistance or report severe damage or injury.</p>",,,
Earthquake,Other important details for your location,3,,,,,,RDPO_counties,Col,,,"<p> Learn more about <a href=""https://www.portlandoregon.gov/pbem/54418"" target=_blank>regional resources</a>.</p>",,,
Earthquake,Other important details for your location,3,,,,,,RDPO_counties,Clk,,,"<p><b>If you want to chat face-to-face about getting prepared&#44; the Clark Regional Emergency Services Agency (CRESA) will come to your event and give a presentation. Fill out a <a href=""https://docs.google.com/forms/d/e/1FAIpQLSf7LLr8S-Q4XW8gCupXAdIPbl8NHqm6Res_Lk_jqsO0ALyPbg/viewform"" target=_blank>request</a>. Learn more about <a href=""https://www.portlandoregon.gov/pbem/54418"" target=_blank>regional resources</a>.<p>",,,
Earthquake,Other important details for your location,3,,,,,,RDPO_counties,Was,,,"<p>Learn more about <a href=""https://www.portlandoregon.gov/pbem/54418"" target=_blank>regional resources</a>.</p>",,,
Earthquake,Other important details for your location,4,,,,,,RDPO_region,RDPO,,,"<p><b>Climate outlook</b>: Good news! <a href=""https://www.youtube.com/watch?v=kwfNGatxUJI"" target=_blank>Earthquake processes</a> are not controlled by climate so it's business as usual for earthquakes in the region.</p>",,,
,,,,,,,,,,,,,,,
Earthquake,What to do during an earthquake,1,,,,,,RDPO_region,RDPO,,,<p><b>Indoors? Stay there</b>. Take cover under a sturdy desk or table away from objects that could fall on you and hold on. DON'T run outside before shaking stops.</p>,,,
Earthquake,What to do during an earthquake,2,,,,,,RDPO_region,RDPO,,,<p><b>Outside? Get into the open</b>. Move away from buildings&#44; power lines&#44; chimneys&#44; or things that could fall on you.</p>,,,
Earthquake,What to do during an earthquake,3,,,,,,RDPO_region,RDPO,,,<p><b>Driving? Carefully stop</b>. Make sure you are not under a bridge&#44; overpass&#44; power lines&#44; etc. and stay inside the vehicle.</p>,,,
,,,,,,,,,,,,,,,
Earthquake,Past earthquake in Oregon,1,,,,,,RDPO_region,RDPO,,,"<h3>Big deep earthquakes</h3>
<p>At about 9pm (PST) on January 26&#44; 1700 a magnitude 8 or greater earthquake struck the west coast of the US. It shook the ground from Canada to California for 3-4 minutes. A tsunami wave followed. Research suggests that big subduction zone earthquakes&#44; like this one&#44; happen on average every 234 years. It’s been over 300 years since the last one. This means now is a pretty good time to get prepared. Read <a href=""https://www.opb.org/news/series/unprepared/jan-26-1700-how-scientists-know-when-the-last-big-earthquake-happened-here/"" target=_blank>OPB’s awesome article</a> about how scientists know the time and size of the 1700 event. It is riveting!</p>

<h3>Shallow moderate earthquakes</h3>
<p>1993 was a big year for earthquakes in Oregon. The Scotts Mills (magnitude 5.6) earthquake occurred south of Portland near Canby&#44; OR. It shook areas nearby causing chimneys to topple and some walls to crack. Damages totaled about 28 million. That same year the Klamath Falls earthquakes (magnitude 5.9 and 6.0) hit in southern Oregon. They caused landslides killing a motorcyclist and damaged buildings. It cost about 10 million in damages.</p>",slider,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Earthquake,Test - should show for all,1,,,,,,RDPO_counties,,,,This snugget should show up for all filter values in the RDPO_counties shapefile!,,,
